Name,Code,State,Local,RTA,Rate,Effective Date,Expiration Date
PORT TOWNSEND - MVET,1651,0.065,0.022,0,0.087,20181001,20181231
KING COUNTY RTA,1700,0.065,0.035,0,0.1,20181001,20181231
ALGONA,1701,0.065,0.035,0,0.1,20181001,20181231
AUBURN/KING RTA,1702,0.065,0.035,0,0.1,20181001,20181231
BEAUX ARTS VILLAGE,1703,0.065,0.035,0,0.1,20181001,20181231
BELLEVUE RTA,1704,0.065,0.035,0,0.1,20181001,20181231
BLACK DIAMOND,1705,0.065,0.021,0,0.086,20181001,20181231
BOTHELL/KING,1706,0.065,0.035,0,0.1,20181001,20181231
CARNATION,1707,0.065,0.021,0,0.086,20181001,20181231
CLYDE HILL,1708,0.065,0.035,0,0.1,20181001,20181231
DES MOINES,1709,0.065,0.035,0,0.1,20181001,20181231
DUVALL,1710,0.065,0.021,0,0.086,20181001,20181231
ENUMCLAW,1711,0.065,0.022,0,0.087,20181001,20181231
COVINGTON,1712,0.065,0.021,0,0.086,20181001,20181231
HUNTS POINT,1713,0.065,0.035,0,0.1,20181001,20181231
ISSAQUAH RTA,1714,0.065,0.035,0,0.1,20181001,20181231
KENT RTA,1715,0.065,0.035,0,0.1,20181001,20181231
KIRKLAND,1716,0.065,0.035,0,0.1,20181001,20181231
LAKE FOREST PARK,1717,0.065,0.035,0,0.1,20181001,20181231
MEDINA,1718,0.065,0.035,0,0.1,20181001,20181231
MERCER ISLAND,1719,0.065,0.035,0,0.1,20181001,20181231
MAPLE VALLEY,1720,0.065,0.021,0,0.086,20181001,20181231
NORMANDY PARK,1721,0.065,0.035,0,0.1,20181001,20181231
NORTH BEND,1722,0.065,0.024,0,0.089,20181001,20181231
PACIFIC/KING,1723,0.065,0.035,0,0.1,20181001,20181231
REDMOND RTA,1724,0.065,0.035,0,0.1,20181001,20181231
RENTON RTA,1725,0.065,0.035,0,0.1,20181001,20181231
SEATTLE,1726,0.065,0.036,0,0.101,20181001,20181231
SKYKOMISH,1727,0.065,0.021,0,0.086,20181001,20181231
SNOQUALMIE,1728,0.065,0.021,0,0.086,20181001,20181231
TUKWILA,1729,0.065,0.035,0,0.1,20181001,20181231
YARROW POINT,1730,0.065,0.035,0,0.1,20181001,20181231
MILTON/KING,1731,0.065,0.035,0,0.1,20181001,20181231
FEDERAL WAY,1732,0.065,0.035,0,0.1,20181001,20181231
SEATAC,1733,0.065,0.035,0,0.1,20181001,20181231
BURIEN,1734,0.065,0.035,0,0.1,20181001,20181231
WOODINVILLE RTA,1735,0.065,0.035,0,0.1,20181001,20181231
NEWCASTLE,1736,0.065,0.035,0,0.1,20181001,20181231
SHORELINE,1737,0.065,0.035,0,0.1,20181001,20181231
KENMORE,1738,0.065,0.035,0,0.1,20181001,20181231
SAMMAMISH RTA,1739,0.065,0.035,0,0.1,20181001,20181231
NORTH BEND - MVET,1772,0.065,0.023,0,0.088,20181001,20181231
KITSAP COUNTY,1800,0.065,0.025,0,0.09,20181001,20181231
BREMERTON,1801,0.065,0.025,0,0.09,20181001,20181231
PORT ORCHARD,1802,0.065,0.025,0,0.09,20181001,20181231
POULSBO,1803,0.065,0.025,0,0.09,20181001,20181231
BAINBRIDGE ISLAND,1804,0.065,0.025,0,0.09,20181001,20181231
KITTITAS COUNTY,1900,0.065,0.015,0,0.08,20181001,20181231
CLE ELUM,1901,0.065,0.015,0,0.08,20181001,20181231
ELLENSBURG,1902,0.065,0.018,0,0.083,20181001,20181231
KITTITAS CITY,1903,0.065,0.015,0,0.08,20181001,20181231
ROSLYN,1904,0.065,0.015,0,0.08,20181001,20181231
SOUTH CLE ELUM,1905,0.065,0.015,0,0.08,20181001,20181231
KITTITAS COUNTY - MVET,1950,0.065,0.012,0,0.077,20181001,20181231
CLE ELUM - MVET,1951,0.065,0.012,0,0.077,20181001,20181231
ELLENSBURG - MVET,1952,0.065,0.015,0,0.08,20181001,20181231
KITTITAS CITY - MVET,1953,0.065,0.012,0,0.077,20181001,20181231
ROSLYN - MVET,1954,0.065,0.012,0,0.077,20181001,20181231
SOUTH CLE ELUM - MVET,1955,0.065,0.012,0,0.077,20181001,20181231
KLICKITAT COUNTY,2000,0.065,0.005,0,0.07,20181001,20181231
BINGEN,2001,0.065,0.01,0,0.075,20181001,20181231
GOLDENDALE,2002,0.065,0.01,0,0.075,20181001,20181231
WHITE SALMON,2003,0.065,0.01,0,0.075,20181001,20181231
LEWIS COUNTY,2100,0.065,0.013,0,0.078,20181001,20181231
CENTRALIA,2101,0.065,0.017,0,0.082,20181001,20181231
CHEHALIS,2102,0.065,0.017,0,0.082,20181001,20181231
MORTON,2103,0.065,0.013,0,0.078,20181001,20181231
MOSSYROCK,2104,0.065,0.013,0,0.078,20181001,20181231
NAPAVINE,2105,0.065,0.013,0,0.078,20181001,20181231
PE ELL,2106,0.065,0.013,0,0.078,20181001,20181231
TOLEDO,2107,0.065,0.013,0,0.078,20181001,20181231
VADER,2108,0.065,0.013,0,0.078,20181001,20181231
WINLOCK,2109,0.065,0.013,0,0.078,20181001,20181231
LINCOLN COUNTY,2200,0.065,0.015,0,0.08,20181001,20181231
ALMIRA,2201,0.065,0.015,0,0.08,20181001,20181231
CRESTON,2202,0.065,0.015,0,0.08,20181001,20181231
DAVENPORT,2203,0.065,0.015,0,0.08,20181001,20181231
HARRINGTON,2204,0.065,0.015,0,0.08,20181001,20181231
ODESSA,2205,0.065,0.015,0,0.08,20181001,20181231
REARDAN,2206,0.065,0.015,0,0.08,20181001,20181231
SPRAGUE,2207,0.065,0.015,0,0.08,20181001,20181231
WILBUR,2208,0.065,0.015,0,0.08,20181001,20181231
LINCOLN COUNTY - MVET,2250,0.065,0.012,0,0.077,20181001,20181231
ALMIRA - MVET,2251,0.065,0.012,0,0.077,20181001,20181231
CRESTON - MVET,2252,0.065,0.012,0,0.077,20181001,20181231
DAVENPORT - MVET,2253,0.065,0.012,0,0.077,20181001,20181231
HARRINGTON - MVET,2254,0.065,0.012,0,0.077,20181001,20181231
ODESSA - MVET,2255,0.065,0.012,0,0.077,20181001,20181231
REARDAN - MVET,2256,0.065,0.012,0,0.077,20181001,20181231
SPRAGUE - MVET,2257,0.065,0.012,0,0.077,20181001,20181231
WILBUR - MVET,2258,0.065,0.012,0,0.077,20181001,20181231
MASON COUNTY,2300,0.065,0.02,0,0.085,20181001,20181231
SHELTON,2301,0.065,0.023,0,0.088,20181001,20181231
SHELTON MVET,2351,0.065,0.022,0,0.087,20181001,20181231
OKANOGAN COUNTY,2400,0.065,0.013,0,0.078,20181001,20181231
BREWSTER,2401,0.065,0.017,0,0.082,20181001,20181231
CONCONULLY,2402,0.065,0.017,0,0.082,20181001,20181231
COULEE DAM,2403,0.065,0.013,0,0.078,20181001,20181231
ELMER CITY,2404,0.065,0.013,0,0.078,20181001,20181231
NESPELEM,2405,0.065,0.013,0,0.078,20181001,20181231
OKANOGAN CITY,2406,0.065,0.018,0,0.083,20181001,20181231
OMAK,2407,0.065,0.017,0,0.082,20181001,20181231
OROVILLE,2408,0.065,0.017,0,0.082,20181001,20181231
PATEROS,2409,0.065,0.017,0,0.082,20181001,20181231
RIVERSIDE,2410,0.065,0.017,0,0.082,20181001,20181231
TONASKET,2411,0.065,0.018,0,0.083,20181001,20181231
TWISP,2412,0.065,0.02,0,0.085,20181001,20181231
WINTHROP,2413,0.065,0.018,0,0.083,20181001,20181231
OKANOGAN-PTBA,2424,0.065,0.017,0,0.082,20181001,20181231
OKANOGAN CITY - MVET,2456,0.065,0.017,0,0.082,20181001,20181231
TONASKET - MVET,2461,0.065,0.017,0,0.082,20181001,20181231
TWISP - MVET,2462,0.065,0.019,0,0.084,20181001,20181231
WINTHROP - MVET,2463,0.065,0.017,0,0.082,20181001,20181231
PACIFIC COUNTY,2500,0.065,0.016,0,0.081,20181001,20181231
ILWACO,2501,0.065,0.016,0,0.081,20181001,20181231
LONG BEACH,2502,0.065,0.018,0,0.083,20181001,20181231
RAYMOND,2503,0.065,0.016,0,0.081,20181001,20181231
SOUTH BEND,2504,0.065,0.016,0,0.081,20181001,20181231
PEND OREILLE COUNTY,2600,0.065,0.011,0,0.076,20181001,20181231
CUSICK,2601,0.065,0.011,0,0.076,20181001,20181231
IONE,2602,0.065,0.011,0,0.076,20181001,20181231
METALINE,2603,0.065,0.011,0,0.076,20181001,20181231
METALINE FALLS,2604,0.065,0.011,0,0.076,20181001,20181231
NEWPORT,2605,0.065,0.011,0,0.076,20181001,20181231
PIERCE COUNTY RTA,2700,0.065,0.028,0,0.093,20181001,20181231
BONNEY LAKE RTA,2701,0.065,0.028,0,0.093,20181001,20181231
BUCKLEY,2702,0.065,0.014,0,0.079,20181001,20181231
CARBONADO,2703,0.065,0.014,0,0.079,20181001,20181231
DUPONT,2704,0.065,0.028,0,0.093,20181001,20181231
EATONVILLE,2705,0.065,0.014,0,0.079,20181001,20181231
FIFE,2706,0.065,0.034,0,0.099,20181001,20181231
FIRCREST,2707,0.065,0.034,0,0.099,20181001,20181231
GIG HARBOR,2708,0.065,0.02,0,0.085,20181001,20181231
MILTON/PIERCE,2709,0.065,0.034,0,0.099,20181001,20181231
ORTING,2710,0.065,0.028,0,0.093,20181001,20181231
